一,一,one,"イチ、イツ、ひと、ひと-つ ichi, itsu, hito, hito-tsu",1
右,口,right (direction),"ウ、ユウ、みぎ u, yū, migi",5
雨,雨,rain,"ウ、あめ、（あま） u, ame, (ama)",8
円,囗,"round, yen","エン、まる-い en, maru-i",4
王,玉,king,オウ ō,4
音,音,sound,"オン、イン、おと、ね on, in, oto, ne",9
下,一,below,"カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる ka, ge, shita, shimo, moto, sa-geru, sa-garu, kuda-ru, kuda-su, kuda-saru, o-rosu, o-riru",3
火,火,fire,"カ、ひ、（ほ） ka, hi, (ho)",4
花,艸,flower,"カ、はな ka, hana",7
貝,貝,shellfish,かい kai,7
学,子,study,"ガク、まな-ぶ gaku, mana-bu",8
気,气,feeling,"キ、ケ ki, ke",6
九,乙,nine,"キュウ、ク、ここの、ここの-つ kyū, ku, kokono, kokono-tsu",2
休,人,rest,"キュウ、やす-む、やす-まる、やす-める kyū, yasu-mu, yasu-maru, yasu-meru",6
玉,玉,ball,"ギョク、たま gyoku, tama",5
金,金,gold,"キン、コン、かね、（かな） kin, kon, kane, (kana)",8
空,穴,sky,"クウ、そら、あ-く、あ-ける、から kū, sora, a-ku, a-keru, kara",8
月,月,"month, moon","ゲツ、ガツ、つき getsu, gatsu, tsuki",4
犬,犬,dog,"ケン、いぬ ken, inu",4
見,見,see,"ケン、み-る、み-える、み-せる ken, mi-ru, mi-eru, mi-seru",7
五,二,five,"ゴ、いつ、いつ-つ go, itsu, itsu-tsu",4
口,口,mouth,"コウ、ク、くち kō, ku, kuchi",3
校,木,school,コウ kō,10
左,工,left (direction),"サ、ひだり sa, hidari",5
三,一,three,"サン、み、み-つ、みっ-つ san, mi, mi-tsu, mi'-tsu",3
山,山,mountain,"サン、やま san, yama",3
子,子,child,"シ、ス、こ shi, su, ko",3
四,囗,four,"シ、よ、よ-つ、よっ-つ、よん shi, yo, yo-tsu, yo'-tsu, yon",5
糸,糸,thread,"シ、いと shi, ito",6
字,子,letter,"ジ、あざ ji, aza",6
耳,耳,ear,"ジ、みみ ji, mimi",6
七,一,seven,"シチ、なな、なな-つ、（なの） shichi, nana, nana-tsu, (nano)",2
車,車,car,"シャ、くるま sha, kuruma",7
手,手,hand,"シュ、て、（た） shu, te, (ta)",4
十,十,ten,"ジュウ、ジッ、とお、と jū, ji', too, to",2
出,凵,exit,"シュツ、（スイ）、で-る、だ-す shutsu, (sui), de-ru, da-su",5
女,女,woman,"ジョ、ニョ、（ニョウ）、おんな、め jo, nyo, (nyō), onna, me",3
小,小,small,"ショウ、ちい-さい、こ、お shō, chii-sai, ko, o",3
上,一,up,"ジョウ、（ショウ）、うえ、（うわ）、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す jō, (shō), ue, (uwa), kami, a-geru, a-garu, nobo-ru, nobo-seru, nobo-su",3
森,木,forest,"シン、もり shin, mori",12
人,人,person,"ジン、ニン、ひと jin, nin, hito",2
水,水,water,"スイ、みず sui, mizu",4
正,止,correct,"セイ、ショウ、ただ-しい、ただ-す、まさ sei, shō, tada-shii, tada-su, masa",5
